1	test1	13	1	91	데이터베이스	20	2017-06-17 14:07
2	test1	13	1	91	전자계산기구조	16	2017-06-17 14:07
3	test1	13	1	91	운영체제	20	2017-06-17 14:07
4	test1	13	1	91	소프트웨어공학	15	2017-06-17 14:07
5	test1	13	1	91	데이터통신	20	2017-06-17 14:07
6	test1	13	2	88	데이터베이스	18	2017-06-18 14:07
7	test1	13	2	88	전자계산기구조	18	2017-06-18 14:07
8	test1	13	2	88	운영체제	16	2017-06-18 14:07
9	test1	13	2	88	소프트웨어공학	16	2017-06-18 14:07
10	test1	13	2	88	데이터통신	20	2017-06-18 14:07
11	test1	13	3	72	데이터베이스	16	2017-06-19 14:07
12	test1	13	3	72	전자계산기구조	12	2017-06-19 14:07
13	test1	13	3	72	운영체제	18	2017-06-19 14:07
14	test1	13	3	72	소프트웨어공학	14	2017-06-19 14:07
15	test1	13	3	72	데이터통신	12	2017-06-19 14:07
